Ascension ,/n./@升天;
escalator ,/n./@電動扶梯;
excavator ,/n./@挖掘机;,/n./@发掘者;
metabolic ,/adj./@变化的;,/adj./@新陈代谢的;
pedagogic ,/adj./@教师的;,/adj./@教育学的;
Centaurus ,/n./@半人馬座;,/n./@半人馬星座;
departure ,/n./@离开;,/n./@出发;,/n./@违背;
enrapture ,/v./@使狂喜;,/v./@使著迷;
premature ,/adj./@過早的;,/adj./@倉促的;,/adj./@不成熟的;,/adj./@早產的;
thesaurus ,/n./@寶庫;,/n./@同義詞詞典;,/n./@類屬詞典;,/n./@主題詞表;,/n./@同反義詞詞典;
Hellenize ,/vt./@希臘化;
deceptive ,/adj./@欺骗性的;
deficient ,/adj./@不足的;,/adj./@有缺陷的;
defensive ,/adj./@自衛的;,/adj./@防御的;
delimiter ,/n./@定界符;,/n./@分隔符;
detective ,/n./@侦探;
determine ,/v./@下决心;,/v./@确定;
efficient ,/adj./@效率高的;
effective ,/adj./@有效的;
mesmerize ,/v./@吸引;,/vt./@迷惑;,/vt./@迷住;,/vt./@催眠;
energetic ,/adj./@充满活力的;,/adj./@精力旺盛的;,/adj./@精力充沛的;,/adj./@精神飽滿的;
epicenter ,/n./@震央;,/n./@中心;,/n./@爆炸點;,/n./@震中;
epicentre ,/redirected./@target="epicenter";
epidermis ,/n./@表皮;,/n./@外皮;
precipice ,/n./@悬崖;,/n./@险境;,/n./@斷崖;,/n./@絕壁;
perimeter ,/n./@周長;,/n./@周界;
recipient ,/n./@容器;,/n./@接受者;,/adj./@易接受的;
recessive ,/adj./@隱性的;,/adj./@退隱的;,/adj./@逆行的;,/adj./@後退的;
reflexive ,/adj./@反身的;,/n./@反身形式;,/n./@反身動詞;,/n./@反身代詞;
reminisce ,/n./@追忆;
residence ,/n./@居住;
resilient ,/adj./@堅韌的;,/adj./@有弹性的;,/adj./@抵抗能力强的;,/adj./@适应能力强的;
sentience ,/n./@感覺能力;,/n./@知覺能力;,/n./@情感能力;,/n./@感覺力;,/n./@感情能力;
sensitive ,/adj./@敏感的;
sterilize ,/v./@消毒;,/v./@滅菌;
exceeding ,/adj./@极其;
excessive ,/adj./@過度的;,/adj./@過多的;,/adj./@過分的;,/adj./@極度的;
expedient ,/adj./@权宜的;,/adj./@便捷的;,/adj./@方便的;
expletive ,/adj./@填補文句的;,/n./@咒罵語;,/n./@填充詞;,/n./@填補詞;
expensive ,/adj./@昂贵的;
existence ,/n./@存在;
extensive ,/adj./@广阔的;,/adj./@廣泛的;,/adj./@廣大的;
zeitgeist ,/n./@時代精神;
celestial ,/adj./@天国的;,/adj./@天空的;,/adj./@天体的;,/adj./@精妙的;
dedicated ,/adj./@專用的;,/adj./@專注的;,/adj./@獻身的;
denigrate ,/vt./@詆毀;,/vt./@毀謗;,/vt./@貶低;,/vt./@玷辱;
designate ,/v./@制定;
empirical ,/adj./@經驗的;,/adj./@實證的;
empitical ,/adj./@经验主义的;
messianic ,/adj./@彌賽亞的;,/adj./@救世主的;,/adj./@信奉救世主的;,/adj./@以救世主自居的;
enchilada ,/n./@辣椒肉馅玉米卷饼;
enigmatic ,/adj./@神秘的;,/adj./@费解的;
predicate ,/v./@断言;,/v./@断定;,/n./@谓语;,/n./@述语;,/adj./@谓语的;
essential ,/adj./@重要的;
terminate ,/vt./@终止;,/vt./@结束;,/vt./@停止;,/vt./@解雇;
defection ,/n./@脱离;
dejection ,/n./@沮喪;,/n./@糞便;
depiction ,/n./@描寫;,/n./@描繪;,/n./@描述;,/n./@描畫;,/n./@敘述;
desertion ,/n./@遺棄;,/n./@離棄;,/n./@逃亡;,/n./@逃跑;
detection ,/n./@發現;,/n./@偵察;
leitmotif ,/n./@主題;,/n./@主旨;,/n./@主旋律;,/n./@基調;
precision ,/n./@精确;
perdition ,/n./@萬劫不復;,/n./@毀滅;,/n./@地獄;
rebellion ,/n./@反叛;,/n./@叛乱;
reception ,/n./@接待;,/n./@招待;
recession ,/n./(经济)@衰退;
rejection ,/n./@拒絕;
rendition ,/n./@给予;
reinforce ,/v./@加强;,/v./@增援;,/vt./@強化;,/vt./@加固;,/vt./@加深;,/vt./@增加;
secession ,/n./@脫離;,/n./@分離;,/n./@退出;
selection ,/n./@挑选;,/n./@選擇;,/n./@選集;
semicolon ,/n./@分號;
exception ,/n./@例外;
exemption ,/n./@免除;,/n./@豁免;
expection ,/n./@预期;
extension ,/v./@伸展;,/v./@延长;
episcopal ,/adj./@主教的;
seriously ,/adv./@嚴肅地;,/adv./@嚴重地;
retribute ,/v./@报应;
technique ,/n./@技术;
peninsula ,/n./@半島;
decompose ,/v./@分解;,/v./使@腐烂;
developer ,/n./@开发者;
heterodox ,/adj./@異端的;
electrode ,/n./@電極;
pedometer ,/n./@計步器;
pheromone ,/n./@信息素;
therefore ,/conj.//adv./@因此;
teleology ,/n./@目的論;
telephone ,/n./@电话;
telescope ,/n./@望远镜;
deodorant ,/adj./@除臭的;,/n./@除臭劑;
detonator ,/n./@雷管;,/n./@炸藥;,/n./@導火索;
melodrama ,/n./@情節劇;,/n./@戏剧性事件;,/n./@傳奇劇;
personage ,/n./@名人;,/n./@大人物;,/n./@要人;,/n./@人物;,/n./@角色;
reprobate ,/adj./@無賴的;,/adj./@邪惡的;,/adj./@為神所棄的;,/vt./@排斥;,/vt./@責備;,/vt./@譴責;,/n./@無賴;,/n./@惡棍;
economist ,/n./@经济学家;
geometric ,/adj./@幾何的;,/adj./@幾何學的;,/adj./@幾何圖案的;,/adj./@幾何級數的;,/adj./@幾何級的;
embroider ,/v./@刺綉;,/v./@裝飾;,/v./@鑲邊;,/vi./@綉花;
pedophile ,/redirected./@target="paedophile";
recognize ,/v./@认识;,/v./@意识;
reconcile ,/v./@和解;,/v./@调停;
ergonomic ,/adj./@人體工學的;,/adj./@工效學的;,/adj./@人類工程學的;
reservoir ,/n./@水庫;,/n./@蓄水池;
explosion ,/n./@爆炸;
explosive ,/adj./@易爆的;
enclosure ,/n./@圈地;,/n./@圍場;,/n./@圈圍;,/n./@圍住;,/n./@圍欄;,/n./@圍牆;,/n./@附件;
encounter ,/v./@遇到;
petroleum ,/n./@石油;
reproduce ,/v./@复制;,/v./@繁殖;,/v./@生殖;,/vt./@重現;,/vt./@再現;,/vt./@再生產;,/vt./@再生長;
reposeful ,/adj./@平穩的;,/adj./@沉著的;
tenebrous ,/adj./@陰暗的;,/adj./@黑暗的;,/adj./@陰沉的;,/adj./@晦澀的;
persecute ,/v./@迫害;
sequencer ,/n./@定序器;,/n./@程序;,/n./@装置;
endurance ,/n./@忍耐力;
ensurance ,/n./@保障;
perpetual ,/adj./@无休止的;
petulance ,/n./@易怒;,/n./@暴躁;
speculate ,/v./@推测;
exuberant ,/adj./@充满活力的;
exculpate ,/v./@開脫罪責;
feudalism ,/n./@封建主義;
pneumatic ,/adj./@氣體的;,/adj./@空氣的;,/adj./@充氣的;,/adj./@壓縮空氣推動的;,/adj./@氣動的;
rheumatic ,/adj./@风湿病的;,/adj./@患风湿病的;
sexuality ,/n./@性慾;
prejudice ,/n./@偏见;
equipment ,/n./@裝備;,/n./@設備;,/n./@器材;,/n./@裝置;
reclusive ,/adj./@隐居的;,/adj./@隐遁的;
recursive ,/adj./@遞歸的;
repulsive ,/adj./@不吸引人的;
seductive ,/adj./@吸引人的;
exclusive ,/adj./@独有的;
centurion ,/n./@百人隊隊長;
deduction ,/n./@推断;,/n./@推演;,/n./@演绎;,/n./@扣除;,/n./@扣减;
revulsion ,/n./@厭惡;,/n./@憎惡;,/n./@嫌惡;,/n./@反感;
seclusion ,/n./@僻静;,/n./@隐居;,/n./@隔绝;,/n./@隔离;,/n./@清静;
seduction ,/v./@诱惑;
excursion ,/n./@遠足;
cellulose ,/n./@纖維素;
credulous ,/adj./@輕信的;
neurology ,/n./@神經學;,/n./@神經病學;
diagramma ,/n./@图解;
financial ,/adj./@经济的;
liability ,/n./@責任;
imaginary ,/adj./@想象的;
impartial ,/adj./@公正的;
inability ,/n./@無能;
bilateral ,/adj./@兩邊的;,/adj./@雙邊的;,/adj./@左右對稱的;,/adj./@雙方的;
cigarette ,/n./@香烟;
dialectic ,/n./@辯證法;,/adj./@辯證的;
disappear ,/v./@消失;
disparage ,/vt./@貶低;,/vt./@毀謗;
dissipate ,/v./@耗费;,/v./@驱散;,/v./@浪费;,/v./@消耗;,/vt./@消除;
fricative ,/adj./@摩擦的;,/n./@摩擦音;,/adj./@摩擦音的;
immigrate ,/v./@移民;
immanence ,/n./@內在;
implicate ,/v./@涉及;
impatient ,/adj./@不耐烦的;
incapable ,/adj./@不能的;,/adj./@不會的;
incarnate ,/adj./@化身的;,/adj./@人體化的;,/adj./@具體化的;,/vt./@具體化;
ingrained ,/adj./@根深蒂固的;,/adj./@深入人心的;
instigate ,/v./@唆使;,/v./@煽动;,/v./@怂恿;,/vt./@提起;,/vt./@发起;
intricate ,/adj./@复杂的;,/adj./@錯綜複雜的;,/adj./@複雜精細的;
vigilance ,/n./@警戒;
vindicate ,/v./@辯護;
dictation ,/n./@口授;,/n./@聽寫;
diagnosis ,/n./@診斷;
inflation ,/n./@膨胀;
plication ,/n./@褶皺;,/n./@皺紋;
vibration ,/n./@振動;,/n./@顫動;,/n./@震動;
signature ,/n./@署名;
clientele ,/n./@顾客;,/n./@客户;
criticize ,/v./@批评;
dignified ,/adj./@尊贵的;,/adj./@庄重的;
diligence ,/n./@勤奮;,/n./@勤勉;
directive ,/n./@命令;,/n./@指令;
illegible ,/adj./@無法辨認的;
millipede ,/n./@千足虫;,/n./@马陆;
impedient ,/n./@口吃;,/n./@障碍;,/n./@阻碍;,/n./@妨碍;
incentive ,/n./@刺激;,/adj./@刺激性的;
indelible ,/adj./@不可磨滅的;,/adj./@不可消除的;,/adj./@難忘的;
infertile ,/adj./@不育的;,/adj./@不肥沃的;,/adj./@不結果實的;,/adj./@貧瘠的;
interfere ,/v./@干涉;,/v./@妨碍;,/v./@冲突;
intervene ,/v./@介入;,/v./@干涉;,/v./@調停;
interview ,/v./@面试;,/v./@采访;
intestine ,/n./@肠;
intensive ,/adj./@密集的;,/adj./@集中的;
invisible ,/adj./@不可见的;
primitive ,/adj./@原始的;,/adj./@早期的;,/adj./@純樸的;
privilege ,/n./@特權;
briefcase ,/n./@公文包;
cinematic ,/adj./@電影的;,/adj./@有电影特征的;
identical ,/adj./@相同的;
disengage ,/v./@解除;,/v./@脫離;
grievance ,/n./@不滿;,/n./@不平;,/n./@委屈;,/n./@冤情;
hibernate ,/vi./@冬眠;
kinematic ,/adj./@运动学的;
millennia ,/redirected./@target="millennium";
miserable ,/adj./@痛苦的;
ineffable ,/adj./@無法形容的;,/adj./@難以描述的;,/adj./@不可言說的;,/adj./@難以形容的;,/adj./@不可言喻的;,/adj./@難以表達的;,/adj./@說不出的;
integrate ,/v./@整合;
interface ,/n./@界面;
pilferage ,/n./@偷竊;
pineapple ,/n./@菠萝;
itinerary ,/n./@旅程;
triennial ,/adj./@三年一次的;,/adj./@每三年的;,/adj./@三年期的;
criterion ,/n./@标准;,/n./@準則;
digestion ,/n./@消化;,/n./@领悟;
dimension ,/n./@维度;,/n./@次元;
direction ,/n./@方向;
diversion ,/n./@转移;,/n./@消遣;
lifeblood ,/n./@命脈;,/n./@生命必需的血液;,/n./@生命線;
inception ,/n./@開始;
infection ,/n./@感染;,/n./@传染;
insertion ,/n./@插入;
intention ,/n./@意图;,/n./@目的;
interpose ,/v./@插話;,/v./@打斷;
inversion ,/n./@倒置;,/n./@倒轉;,/n./@颠倒;,/n./@反向;
invention ,/n./@发明;,/n./@创造;
viewpoint ,/n./@观点;
righteous ,/adj./@正义的;
ingenuity ,/n./@精巧;,/n./@獨創性;,/n./@心靈手巧;
irregular ,/adj./@不規則的;
illogical ,/adj./@不合邏輯的;,/adj./@不合理的;
inorganic ,/adj./@無機的;,/adj./@無組織的;,/adj./@無生物的;
insomniac ,/n./@不眠症患者;,/adj./@失眠的;,/n./@失眠患者;
pictorial ,/adj./@繪畫的;,/adj./@形象化的;,/adj./@有插圖的;,/adj./@畫的;,/n./@畫報;,/n./@畫刊;
visionary ,/adj./@梦想的;,/n./@空想家;
microwave ,/n./@微波;
biometric ,/adj./@生物特徵識別的;,/adj./@生物統計的;,/adj./@生物測定的;
biosphere ,/n./@生物圈;
disorient ,/vt./@使失去方向;,/vt./@使迷惘;
improvise ,/v./@隨機應變;,/v./@即興創作;
impotence ,/n./@陽痿;,/n./@無能;,/n./@無效;,/n./@虛弱;,/n./@衰弱;
frivolous ,/adj./@輕浮的;,/adj./@輕佻的;,/adj./@無聊的;,/adj./@瑣碎的;
ginormous ,/redirected./@target="enormous";
binocular ,/adj./@雙眼的;,/adj./@雙目的;,/adj./@雙眼用的;,/adj./@雙目鏡;,/adj./@雙筒望遠鏡;,/adj./@雙目顯微鏡;
discourse ,/n./@談話;,/n./@演講;,/n./@論文;,/n./@交談;,/vi./@論述;,/vi./@講述;
introduce ,/v./@介紹;,/v./@引進;,/v./@采用;
spiritual ,/adj./@精神的;,/adj./@虔诚的;
circulate ,/v./@循环;
inculcate ,/v./@灌输;,/v./@塑造;
insurance ,/n./@保险;
stimulate ,/v./@刺激;,/v./@鼓舞;
incubator ,/n./@孵育器;
simulator ,/n./@模拟器;
distingue ,/adj./@高尚的;
inclusive ,/adj./@包容的;,/adj./@包括的;,/adj./@包含的;
influence ,/n./@影响;
institute ,/n./@学会;,/n./@协会;,/v./@制定;,/v./@創立;
inclusion ,/n./@包含;
incursion ,/n./@入侵;,/n./@侵入;,/n./@侵略;,/n./@侵占;
intrusion ,/n./@侵入;,/n./@闖入;,/n./@干涉;,/n./@侵擾;,/n./@打擾;
footstool ,/n./@腳凳;
octagonal ,/adj./@八角形的;,/adj./@八边形的;
chocolate ,/n./@巧克力;
collocate ,/n./@布置;
connotate ,/v./@暗示;
corporate ,/n./@法人的;
motorcade ,/n./@車隊;,/n./@汽車隊列;,/n./@汽車行列;
propagate ,/vt./@传播;,/vi./@繁殖;
orphanage ,/n./@孤兒院;
toothache ,/n./@牙痛;
botanical ,/adj./@植物學的;
collation ,/n./@整理;,/n./@校對;
companion ,/n./@同伴;,/n./@伴侶;,/n./@夥伴;,/n./@陪護;,/n./(成對的物件中的)@一件;,/n./@指南;,/n./@手冊;
formation ,/n./@形成;,/n./@構造;
hypomania ,/n./@輕度躁狂;
probation ,/n./@緩刑;,/n./@試用;,/n./@試用期;,/n./@見習;,/n./@見習期;,/n./@試讀;,/n./@試讀期;
normalize ,/v./@正常化;
proactive ,/adj./@前瞻性的;
ostracise ,/redirected./@target="ostracize";
ostracize ,/v./@排斥;,/v./@排擠;,/v./@孤立;,/vt./@放逐;
holocaust ,/n./@大屠殺;,/n./@大破壞;,/n./@大毀滅;,/n./@浩劫;
foreclose ,/v./@沒收;,/v./@阻止;,/v./@排除;
whosoever ,/pron./@任何人;
correlate ,/v./@关联;
corporeal ,/adj./@物质的;
homemaker ,/n./@主妇;
tolerance ,/n./@容忍度;
porcelain ,/n./@瓷;,/n./@瓷器;
objection ,/n./@反对;
objective ,/adj./@客观的;
obsession ,/n./@迷戀;,/n./@沉迷;,/n./@癡迷;
offensive ,/adj./@冒犯的;
posterior ,/adj./@後面的;
sometimes ,/adv./@有時;,/adv./@不時;
otherwise ,/conj.//adv./@否則;,/adv./@另外;,/adj./@另外的;
overwrite ,/v./@覆盖;
congenial ,/adj./@意氣相投的;,/adj./@一致的;,/adj./@性格相似的;
potential ,/n./@潜力;
Colosseum ,/n./@羅馬圓形大競技場;
grotesque ,/n./@怪異風格;,/n./@怪誕圖樣;,/adj./@奇形怪狀的;,/adj./@怪誕的;,/adj./@古怪的;,/adj./@怪異風格的;
momentous ,/adj./@重要的;
ponderous ,/adj./@笨重的;
procedure ,/n./程序;,/n./@步骤;
prosecute ,/v./@迫害;
molecular ,/adj./@分子的;
cognition ,/n./@認識;,/n./@認知;
collision ,/v./@冲突;,/v./@抵触;,/v./@碰撞;
commotion ,/n./@騷亂;,/n./@喧鬧;
condition ,/n./@条件;,/n./@情况;
promotion ,/n./@促进;,/n./@提拔;,/n./@晋升;
portfolio ,/n./@公文包;,/n./@文件夹;
provision ,/n./@提供;
sociology ,/n./@社會學;,/n./@社會關係研究;
solicitor ,/n./@律師;
soporific ,/adj./@催眠的;,/adj./@昏昏欲睡的;,/adj./@使人昏昏欲睡的;
convivial ,/adj./@欢乐的;,/adj./@欢宴的;
political ,/adj./@政治的;
obstinate ,/adj./@頑固的;,/adj./@固執的;
dominance ,/n./@支配;,/n./@統治;,/n./@優勢;
ordinance ,/n./@法令;,/n./@條例;
oscillate ,/v./@震盪;,/v./@擺動;,/v./@振盪;,/v./@搖擺;
cognitive ,/adj./@认知的;,/adj./@认知能力的;,/adj./@认知过程的;,/adj./@認識的;
committee ,/n./@委員會;
crocodile ,/n./@鳄鱼;
corrosive ,/adj./@腐蝕的;,/adj./@腐蝕性的;,/n./@腐蝕物;,/n./@腐蝕劑;
dosimeter ,/n./@放射量測定器;,/n./@劑量計;
notoriety ,/n./@惡名;,/n./@聲名狼藉;
voiceless ,/adj./@無聲的;
conscious ,/adj./@清醒的;
continuum ,/n./@連續體;,/n./@漸變體;
moscovium ,/n./@鏌;
politburo ,/n./@政治局;
continual ,/adj./@不间断的;,/adj./@连续的;
fortitude ,/n./@剛毅;,/n./@堅毅;,/n./@不屈不撓;,/n./@堅忍;
longitude ,/n./@经度;
congruous ,/adj./@一致的;,/adj./@協調的;,/adj./@適合的;
torturous ,/adj./@折磨人的;
consulate ,/n./@領事館;
fortunate ,/adj./@幸運的;
moustache ,/n./@胡子;,/n./@胡须;
postulate ,/vt./@假定;,/vt./@假設;,/n./@假設;,/n./@假定;
vouchsafe ,/vt./@给予;,/vt./@惠赐;,/vt./@承诺;,/vt./@透露;
composure ,/n./@鎮定;,/n./@沉著;,/n./@鎮定;
