accelerate ,/v./@加速;,/v./@促进;,/v./@增速;
delegation ,/n./@代表团;,/n./@授权;,/n./@委托;
federation ,/n./@聯邦;,/n./@聯合;,/n./@聯盟;,/n./@聯邦政府;
generation ,/n./@一代;
recreation ,/n./@娱乐;
reparation ,/n./@賠償;,/n./@補償;,/n./@賠償金;,/n./@賠款;
revelation ,/n./@揭示;,/n./@曝光;,/n./@披露;
escalation ,/n./@增强;,/n./@加剧;,/n./@扩大;,/n./@恶化;,/n./@逐步上升;,/n./@逐步擴大;
separation ,/n./@分離;,/n./@間隔;,/n./@分開;
excavation ,/n./@挖掘;
precarious ,/adj./@不穩的;,/adj./@危險的;,/adj./@說不定的;
reasonable ,/adj./@合理的;
precaution ,/n./@預防;,/n./@警惕;,/n./@謹慎;
exhaustion ,/n./@枯竭;
definitive ,/adj./@定义的;,/adj./@决定的;,/adj./@限定的;,/adj./@決定性的;
epexegesis ,/n./@附加說明;
repetitive ,/adj./@重复的;
resilience ,/n./@恢复力;,/n./@弹性;
experience ,/n./@经历;,/n./@经验;
beneficial ,/adj./@有益的;
deliberate ,/adj./@故意的;,/adj./@慎重的;
effeminate ,/adj./@女人氣的;,/adj./@女性化的;,/adj./@無男子氣概的;,/adj./@娘娘腔的;
legitimate ,/adj./@合法的;,/adj./@合理的;,/adj./@正統的;,/adj./@婚生的;
seminaries ,/redirected./@target="seminary";
specialize ,/v./@专攻;
verifiable ,/adj./@可证实的;
hesitation ,/n./@犹豫;
meditation ,/n./@冥想;
emigration ,/n./@移居外国;,/n./@移民國外;
expiration ,/n./@呼气;,/n./@终结;
definition ,/n./@定义;
repetition ,/n./@重复;
television ,/n./@电视;
exhibition ,/n./@展览;
expedition ,/n./@探险;
periodical ,/n./@期刊;
pernicious ,/adj./@有害的;,/adj./@惡毒的;,/adj./@邪惡的;
meticulous ,/adj./@非常仔細的;,/adj./@一絲不苟的;,/adj./@小心翼翼的;
heretofore ,/adv./@直到此时;,/adv./@迄今为止;,/adv./@在这以前;
denotation ,/n./@符号;,/n./@表示;,/n./@意义;
desolation ,/n./@荒蕪;,/n./@廢墟;,/n./@孤寂;,/n./@淒涼;
jeopardize ,/v./@危及;
pejorative ,/adj./@輕蔑的;,/adj./@貶抑的;,/adj./@貶義的;
renovation ,/n./@翻新;,/n./@修繕;,/n./@更新;,/n./@修理;
demolition ,/n./@毀壞;,/n./@破壞;,/n./@拆除;
deposition ,/n./@免職;,/n./@罷官;,/n./@废黜;,/n./@证词;,/n./@沉澱;,/n./@作證;
exposition ,/n./@闡述;,/n./@解說;,/n./@展覽會;,/n./@博覽會;,/n./@背景介紹;
economical ,/adj./@节约的;
ceremonial ,/adj./@庆典的;,/adj./@仪式的;
denominate ,/v./@命名;
hemophilia ,/redirected./@target="haemophilia";
theologian ,/n./@神學家;
resolution ,/n./@分辨率;,/n./@决议;,/n./@决心;,/n./@決定;,/n./@解析;,/n./@解決;,/n./@解析度;
revolution ,/n./@革命;,/n./@变革;,/n./@循環;,/n./@旋轉;
recuperate ,/vt./@恢復;,/vt./@挽回;
remunerate ,/vt./@酬勞;
executable ,/adj./@可执行的;
neutralize ,/v./@中和;,/v./@抵消;
equanimity ,/n./@鎮定;
persuasion ,/n./@说服;
regulation ,/n./@規則;,/n./@法令;,/n./@管理;
reputation ,/n./@名誉;
eukaryotic ,/adj./@真核生物的;
ecumenical ,/adj./@全基督教的;
equivalent ,/adj./@等价的;
delusional ,/adj./@妄想的;
leucoderma ,/redirected./@target="vitiligo";
leukoderma ,/redirected./@target="vitiligo";
dilapidate ,/v./@毁坏;,/v./@荒废;
immaterial ,/adj./@无关紧要的;,/adj./@无所谓的;,/adj./@不重要的;,/adj./@无形的;
indicative ,/adj./@指示性的;,/adj./@陳述性的;,/n./@陳述性語氣;,/n./@陳述性動詞;
intimidate ,/v./@恐吓;,/v./@威嚇;,/v./@脅迫;
invalidate ,/v./@失效;,/v./@取消;
invariable ,/adj./@恒定的;,/n./@恒量;
indication ,/n./@象征;,/n./@迹象;
invitation ,/n./@邀请;
irrational ,/adj./@不合理的;
diaphanous ,/adj./@透明的;
immaculate ,/adj./@完美的;,/adj./@無瑕的;
inaccurate ,/adj./@不准确的;
indefinite ,/adj./@不明確的;,/adj./@不確定的;,/adj./@不定的;
infinitive ,/n./@動詞不定式;,/adj./@動詞不定式的;
imperative ,/adj./@必要的;,/adj./@命令的;,/adj./@祈使的;,/adj./@紧急的;,/n./@命令;,/n./@规则;
indelicate ,/adj./@下流的;,/adj./@不雅的;,/adj./@無教養的;
inevitable ,/adj./@必然的;,/adj./@不可避免的;
ideologist ,/n./@觀念學家;,/n./@觀念學者;
likelihood ,/n./@可能;,/n./@可能性;
inexorable ,/adj./@不可阻擋的;,/adj./@無法改變的;
indigenous ,/adj./@土著的;,/adj./@本地的;,/adj./@当地的;
lieutenant ,/n./@中尉;,/n./@陆军中尉;,/n./@海军上尉;
inequality ,/n./@不平等;
inhibition ,/n./@抑制;
biological ,/adj./@生物学的;
intonation ,/n./@声调;,/n./@語調;
invocation ,/n./@援引;,/n./@引用;,/n./@召喚;,/n./@祈求;
innovation ,/n./@革新;,/n./@创新;
intoxicate ,/vt./@使喝醉;,/vt./@使陶醉;
invigorate ,/v./@激活;
victorious ,/adj./@勝利的;,/adj./@戰勝的;,/adj./@獲勝的;,/adj./@凱旋的;
discourage ,/v./@使沮丧;
silhouette ,/n./@輪廓;,/n./@剪影;,/n./@侧影;
illuminati ,/n./@光照派;
individual ,/n./@个人;,/adj./@个人的;,/adj./@各自的;
figurative ,/adj./@比喻的;,/adj./@象徵性的;,/adj./@具象的;
illuminate ,/v./@照明;,/vt./@照亮;,/vt./@闡明;,/vt./@啟發;
diminutive ,/adj./@微小的;,/adj./@極小的;,/adj./@小的;,/adj./@指小的;,/n./@指小词;
infinitude ,/n./@無限;
ridiculous ,/adj./@荒谬的;
bootloader ,/n./@引導程序;,/n./@引導加載程序;
coloration ,/n./@色彩;,/n./@著色;,/n./@上色;,/n./@染色;
coronation ,/n./@加冕典禮;,/n./@加冕;
occasional ,/adj./@偶尔的;
obtainable ,/adj./@可获得的;
contagious ,/adj./@感染性的;,/adj./@蔓延的;,/adj./@接觸傳染性的;
monogamous ,/adj./@單一配偶的;
moderation ,/n./@适度;,/n./@节制;,/n./@温和;
Phoenician ,/n./@腓尼基人;,/n./@腓尼基語;,/adj./@腓尼基的;,/adj./@腓尼基人的;,/adj./@腓尼基語的;
collegiate ,/adj./@大學的;,/adj./@學院的;,/adj./@大學生的;
forfeiture ,/n./@沒收財產;
opposition ,/n./@反对;,/n./@對抗;
obligation ,/n./@义务;
motivation ,/n./@动力;
nomination ,/n./@提名;,/n./@任命;
coordinate ,/v./@协调;,/v./@配合;,/n./@坐标;,/adj./@并列的;,/adj./@同等的;
nominative ,/n./@主格;,/adj./@主格的;
locomotive ,/n./@火车头;,/n./@機車;,/adj./@運動的;,/adj./@有運動能力的;
monopolize ,/vt./@垄断;
obliterate ,/v./@刪去;,/v./@抹掉;,/vt./@清除;,/vt./@摧毁;
boisterous ,/adj./@喧鬧的;,/adj./@狂暴的;,/adj./@猛烈的;
coniferous ,/adj./@结球果的;,/adj./@针叶树的;
vociferous ,/adj./@喊叫的;,/adj./@喧嚷的;
contiguous ,/adj./@連續的;,/adj./@鄰近的;
continuous ,/adj./@连续不断的;
prodigious ,/adj./@惊人的;
homologous ,/adj./@相應的;,/adj./@同源的;,/adj./@類似的;
monotonous ,/adj./@单调的;
roundabout ,/adj./@迂回的;,/adj./@繞道的;,/adj./@繞圈子的;
occupation ,/n./@職業;,/n./@佔有;
foundation ,/n./@建立;,/n./@基金会;,/n./@基础;,/n./@地基;
population ,/n./@人口;
copulative ,/adj./@連繫的;,/adj./@連繫詞的;,/n./@連繫詞;,/adj./@交媾的;
colloquium ,/n./@學術研討會;,/n./@討論會;,/n./@學術報告會;
colloquial ,/adj./@口語的;,/adj./@口語體的;,/adj./@會話的;
cornucopia ,/n./@大量;
tourniquet ,/n./@止血帶;,/n./@壓血帶;
unsatiable ,/adj./@不知足的;,/adj./@貪得無厭的;
quarantine ,/n./@隔離檢疫;,/n./@隔離區;,/n./@隔離期;,/n./@隔離檢疫期;,/vt./@隔離;,/vi./@實行隔離;
pugnacious ,/adj./@好战的;,/adj./@好斗的;
bureaucrat ,/n./@官僚;
unbearable ,/adj./@无法忍受的;
unbeatable ,/adj./@無敵的;,/adj./@無法擊敗的;
undeniable ,/adj./@不可否認的;,/adj./@無可爭辯的;
unreliable ,/adj./@不可靠的;
unilateral ,/adj./@单方面的;
mutilation ,/n./@伤害;,/n./@截除;,/n./@损坏;,/n./@损伤;
rumination ,/n./@沉思;,/n./@反芻;
suspicious ,/adj./@怀疑的;
guillotine ,/n./@斷頭台;
tumultuous ,/adj./@混乱的;,/adj./@骚乱的;,/adj./@嘈杂的;,/adj./@吵闹的;,/adj./@喧哗的;
