abbreviation ,/n./@縮寫;
intimidation ,/n./@恐吓;,/n./@威胁;
intransigent ,/adj./@不妥协的;
introduction ,/n./@介紹;,/n./@引言;
irreversible ,/adj./@不可逆轉的;
jurisdiction ,/n./@司法權;,/n./@審判權;,/n./@權限;,/n./@管轄權;
kindergarten ,/n./@幼兒園;
legalization ,/n./@合法化;
magnificence ,/n./@壯麗;,/n./@宏偉;
manipulation ,/n./@操纵;
manufacturer ,/n./@制造者;
marksmanship ,/n./@射擊術;,/n./@槍法;
masturbation ,/n./@手淫;
mechanically ,/adv./@机械的;
meritocratic ,/adj./@精英領導的;,/adj./@精英管理的;,/adj./@精英制的;
metamorphose ,/vt./@變形;,/vt./[Geology]@變質;
metaphorical ,/adj./@隱喻的;,/adj./@比喻的;
metaphysical ,/adj./@形而上学的;,/adj./@超自然的;,/adj./@玄学的;,/adj./@抽象的;
metropolitan ,/n./@大都市;
misogynistic ,/adj./@厭女的;,/adj./@厭惡女人的;
misquotation ,/n./@误引;
modification ,/n./@修正;
monotheistic ,/adj./@一神論的;,/adj./@一神教的;
narcissistic ,/adj./@孤芳自赏的;
neurasthenic ,/adj./@神經衰弱的;,/adj./@神經衰弱症的;
neurological ,/adj./@神經系統的;,/adj./@神經學的;,/adj./@神經病學的;
nevertheless ,/conj./@尽管如此;
notification ,/n./@通知;
occupational ,/adj./@职业的;
organisation ,/n./@组织;
organization ,/n./@组织;
orthographic ,/adj./@拼寫的;
ostentatious ,/adj./@招搖的;,/adj./@誇耀的;,/adj./@炫耀的;,/adj./@賣弄的;
outmanoeuvre ,/vt./@智勝;
overestimate ,/v./@高估;
overwhelming ,/adj./@壓倒性的;
paramilitary ,/adj./@准军事的;
participance ,/n./@参与;,/n./@分享;
participancy ,/n./@参与;,/n./@分享;
particularly ,/adv./@特别;
pathological ,/adj./@病理學的;,/adj./@病理上的;,/adj./@病態的;
penitentiary ,/n./@监狱;
Pennsylvania ,/n./@宾夕法尼亚州;
periodically ,/adv./@阶段性的;
perseverance ,/n./@坚持;
perspiration ,/n./@流汗;,/n./@出汗;
perturbation ,/n./@攝動;,/n./@擾亂;,/n./@不安;
photorealism ,/n./@照相寫實主義;,/n./@寫實主義;
plausibility ,/n./@貌似合理;,/n./@貌似可信;,/n./@可信度;
possiblility ,/n./@可能性;
posthumously ,/adv./@死後地;,/adv./@在死後;
predilection ,/n./@偏好;,/n./@偏爱;,/n./@嗜好;
preposterous ,/adj./@荒謬的;,/adj./@荒唐的;
prerequisite ,/n./@先決條件;,/adj./@首要必備的;
Presbyterian ,/adj./@長老會教會的;,/adj./@長老會的;,/n./@長老會教徒;
presentation ,/n./@展示;,/n./@提供;,/n./@表演;
presentiment ,/n./@預感;
professional ,/adj./@专业的;,/adj./@职业的;
proportional ,/adj./@成比例的;
prostitution ,/n./@賣淫;
protuberance ,/n./@隆起;,/n./@隆起物;,/n./@凸出物;,/n./@突出物;
psychotropic ,/adj./@治療精神異常的;
purification ,/n./@净化;,/n./@提純;
putrefaction ,/n./@化膿;,/n./@腐烂;,/n./@腐敗;
quadriplegic ,/adj./@四肢瘫痪的;,/n./@四肢瘫痪者;
quasicrystal ,/n./@準晶體;
questionable ,/adj./@可疑的;
radiological ,/adj./@放射學的;
ramification ,/n./@延伸性影響;
reassignment ,/n./@再分配;,/n./@再指派;,/n./@再指定;,/n./@重新分配;
recognizable ,/adj./@可辨認的;,/adj./@可認出的;,/adj./@可承認的;
recollection ,/n./@回憶;,/n./@記憶;,/n./@回憶錄;,/n./@往事;,/n./@記憶力;
recreational ,/adj./@消遣的;,/adj./@娛樂的;,/adj./@修養的;
refrigerator ,/n./@冰箱;
registration ,/n./@登记;,/n./@注册;
relationship ,/n./@关系;
rememberance ,/n./@回忆;,/n./@记忆力;
reminiscence ,/n./@懷念;,/n./@回憶;
repercussion ,/n./@間接後果;,/n./@反響;
reprehension ,/n./@指責;,/n./@非難;
reproduction ,/n./@繁殖;,/n./@複製;,/n./@複製品;,/n./@再生;,/n./@生殖;
resurrection ,/n./@復活;,/n./@恢復;,/n./@復興;
satisfaction ,/n./@满足;
secessionist ,/n./@分離主義者;,/adj./@分離主義的;
significance ,/n./@重要性;,/n./@意义;
simultaneous ,/adj./@同时的;
sledgehammer ,/n./@大錘;
sophisticate ,/v./@复杂化;
sporadically ,/adv./@零星地;,/adv./@偶發的;
stereoscopic ,/adj./@立體的;,/adj./@有立體感的;,/adj./@立體成像的;,/adj./@體視的;
subconscious ,/n./@潛意識;,/n./@下意識;,/adj./@潛意識的;,/adj./@下意識的;
subcontinent ,/n./@次大陸;
subscription ,/n./@订阅;
subsequently ,/adv./@隨後;,/adv./@其後;,/adv./@接著;
substitution ,/n./@代替;,/n./@置换;
subterranean ,/adj./@地下的;,/adj./@秘密的;
superstition ,/n./@迷信;
surprisingly ,/adv./@令人惊讶的;
surrealistic ,/adj./@超現實主義的;
surroundings ,/n./@周遭;
surveillance ,/n./@监视;
suspiciously ,/adv./@怀疑地;
technologist ,/n./@技術專家;,/n./@技術人員;,/n./@工藝學家;
testosterone ,/n./@睪酮;,/n./@睪丸酮;
togetherness ,/n./@團結友愛;,/n./@和睦相處;,/n./@親密無間;
totalitarian ,/adj./@極權主義的;,/n./@極權主義者;
transcendent ,/adj./@超常的;,/adj./@傑出的;,/adj./@超然的;,/adj./@卓越的;,/adj./@超越一切的;
translucence ,/n./@半透明;
translucency ,/n./@半透明;
transparency ,/n./@透明度;,/n./@透明性;
transvestite ,/adj./@異裝癖的;,/n./@異裝癖者;
unacceptable ,/adj./@不能接受的;
unauthorized ,/adj./@非法的;,/adj./@未被授权的;
unbelievable ,/adj./@难以置信的;
underperform ,/vi./@表現不佳;,/vi./@表現平平;,/vi./@表現不達標;,/vi./@表現欠佳;,/vt./@表現低於;,/vt./@表現遜於;,/vt./@表現不如;
unemployment ,/n./@失业;
unfathomable ,/adj./@無法理解的;,/adj./@難以理解的;,/adj./@無法測量的;,/adj./@難以測量的;,/adj./@深不可測的;,/adj./@廣不可測的;
unidentified ,/adj./@未識別的;,/adj./@不明的;,/adj./@未知的;
unquenchable ,/adj./@无法熄灭的;
unscrupulous ,/adj./@肆無忌憚的;
urbanization ,/n./@城市化;,/n./@城鎮化;
verification ,/n./@核实;
welldesigned ,/adj./@设计良好的;
